;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590
290;0,49354166666666666;0,2727708333333333;0,478089430894309;0,2690548780487805;0,46593253968253967;0,26482142857142854;0,457015503875969;0,25991279069767437;0,5799147727272727;0,25436553030303033;0,5694907407407408;0,24982407407407403;0,5595199275362319;0,28744565217391305;0,5488741134751773;0,28718085106382973;0,5380815972222222;0,28661458333333334;0,5268792517006803;0,28586734693877547;0,515325;0,2848166666666667;0,5022630718954249;0,2833823529411764;0,48691506410256413;0,28136217948717945;0,4717374213836478;0,2787264150943396;0,5861265432098766;0,27535493827160495;0,5788636363636364;0,2711060606060606;0,5698958333333333;0,2666815476190476;0,5604239766081871;0,26375730994152047;0,5515804597701149;0,2865086206896552;0,5419915254237289;0,2850353107344633;
300;0,41228;0,19091999999999998;0,35070476190476185;0,1827619047619048;0,5800181818181818;0,17820000000000003;0,5698260869565217;0,24770434782608697;0,5606833333333333;0,2467166666666667;0,5524640000000001;0,24536000000000002;0,5433384615384615;0,24373846153846157;0,5334074074074073;0,24152592592592592;0,5252714285714286;0,2387285714285714;0,5198482758620689;0,23513103448275863;0,5000666666666667;0,23060000000000003;0,4728903225806451;0,22496774193548386;0,4422125;0,21838749999999996;0,5760000000000001;0,21341818181818184;0,5629411764705883;0,21067058823529417;0,5500114285714286;0,24622857142857146;0,537511111111111;0,24391111111111108;0,5236108108108108;0,24154594594594592;0,5078947368421053;0,23901052631578945;0,4926769230769231;0,23619487179487175;
310;0,47796000000000005;0,23304000000000002;0,4645853658536585;0,2294536585365854;0,45472380952380953;0,22537142857142856;0,44733023255813953;0,22062325581395348;0,5742454545454545;0,21616363636363634;0,5623555555555555;0,21336888888888894;0,5505304347826088;0,24700869565217387;0,5383234042553191;0,24651914893617022;0,525925;0,24575000000000002;0,5125632653061225;0,24481632653061225;0,498584;0,24360000000000004;0,4825176470588235;0,24202352941176475;0,46734615384615386;0,23989230769230774;0,45298867924528297;0,2371773584905661;0,5820888888888889;0,23376296296296295;0,5731927272727273;0,22974545454545459;0,5627857142857142;0,2267285714285714;0,5518456140350877;0,2251368421052632;0,5414068965517241;0,24662068965517236;0,5303186440677966;0,24517288135593218;
320;0,38796153846153847;0,15519230769230774;0,3294505494505494;0,1503663003663004;0,573409090909091;0,1489160839160839;0,5615551839464883;0,20834448160535113;0,5519391025641025;0,20703525641025644;0,5433384615384615;0,20540000000000003;0,5335650887573964;0,20353550295857992;0,5264529914529914;0,2011253561253561;0,5213324175824177;0,19817307692307695;0,5117904509283819;0,1944694960212202;0,48750000000000004;0,18988461538461543;0,45574441687344913;0,18430521091811414;0,41890625000000004;0,1796033653846154;0,5682517482517482;0,17691142191142195;0,5530995475113123;0,17623303167420812;0,5385274725274725;0,20748351648351648;0,5240598290598291;0,20529914529914528;0,5078794178794179;0,20302494802494797;0,4913967611336032;0,200587044534413;0,4768441814595661;0,19787968441814596;
330;0,4639615384615384;0,1948461538461539;0,4529455909943715;0,1913977485928705;0,44499999999999995;0,18747252747252752;0,4366726296958855;0,1834168157423971;0,5660052447552448;0,18064685314685314;0,552008547008547;0,17936752136752132;0,5386204013377927;0,20844481605351173;0,5246890343698855;0,20777414075286416;0,5101201923076923;0,20684294871794873;0,49423076923076925;0,20576138147566714;0,47817692307692305;0,20441538461538467;0,46272247360482655;0,2027300150829563;0,44848372781065093;0,20051775147928996;0,435566037735849;0,1977503628447025;0,5747435897435897;0,19440170940170942;0,5646573426573427;0,19156643356643355;0,5524038461538461;0,18987637362637366;0,5398785425101215;0,18951417004048587;0,5277984084880636;0,20766578249336876;0,5151890482398958;0,20629074315514995;
340;0,3632222222222222;0,12350000000000005;0,30913580246913586;0,12195767195767193;0,563989898989899;0,12324915824915827;0,5525442834138486;0,17106280193236711;0,5423611111111111;0,16949074074074078;0,5334074074074073;0,16762962962962968;0,5264529914529914;0,16556980056980053;0,5229218106995885;0,1630041152263374;0,5149867724867725;0,15993386243386243;0,5004980842911877;0,15615581098339715;0,47156790123456793;0,15154320987654324;0,4341816009557945;0,14737156511350058;0,39093750000000005;0,1449421296296296;0,5575757575757576;0,144320987654321;0,54119825708061;0,1455228758169934;0,5246349206349206;0,16978835978835982;0,5075308641975309;0,167716049382716;0,49107107107107106;0,16559559559559556;0,47588693957115014;0,1633138401559454;0,46366571699905035;0,16076923076923078;
350;0,45340740740740737;0,15790740740740739;0,44375790424570916;0,15464317976513098;0,434373897707231;0,1511816578483245;0,42442721791559;0,14875107665805343;0,5545707070707071;0,14754208754208753;0,5391028806584361;0,14776954732510283;0,5240177133655395;0,17046698872785826;0,507651694247439;0,16967691095350668;0,4901157407407407;0,168641975308642;0,47374905517762655;0,16746787603930458;0,4586592592592592;0,16604444444444444;0,44474219317356567;0,1642992011619463;0,4322720797720798;0,16205128205128205;0,4211670160726765;0,15927323549965056;0,5645130315500686;0,1567901234567901;0,5527676767676768;0,15528619528619525;0,5391666666666667;0,1548412698412699;0,5250292397660818;0,15563352826510723;0,5110855683269476;0,17007024265644954;0,4956559949780289;0,16877589453860642;
360;0,3376785714285714;0,09983928571428569;0,2878231292517007;0,10086734693877553;0,5486525974025974;0,10452922077922078;0,5386490683229814;0,14038819875776398;0,5304315476190475;0,1384077380952381;0,5252714285714286;0,13618571428571424;0,5213324175824177;0,133804945054945;0,5149867724867725;0,13096560846560845;0,5020025510204081;0,12766581632653062;0,4825738916256158;0,12375615763546799;0,4484880952380952;0,12024999999999997;0,4039285714285714;0,11821428571428572;0,3630022321428571;0,11773437499999995;0,5403463203463204;0,11888528138528143;0,5227100840336134;0,12169117647058825;0,5045918367346939;0,1398571428571429;0,4889285714285714;0,13780753968253967;0,4749613899613899;0,13567567567567562;0,46242481203007524;0,1333928571428571;0,4521245421245421;0,13086080586080584;
370;0,44175;0,12802678571428572;0,4304181184668989;0,12509581881533105;0,4195068027210884;0,12300170068027216;0,40780730897009965;0,12200166112956812;0,5362905844155844;0,12215097402597408;0,519436507936508;0,12356349206349204;0,5014208074534161;0,14072981366459625;0,48423252279635254;0,13971124620060793;0,4681770833333333;0,13846726190476188;0,45382653061224487;0,13709912536443147;0,4406214285714286;0,13549999999999995;0,42863445378151266;0,13359943977591038;0,41752060439560434;0,13124999999999998;0,4070687331536388;0,129177897574124;0,5470238095238096;0,12789682539682534;0,5338571428571428;0,12751948051948048;0,5187117346938775;0,12812500000000004;0,5020426065162907;0,12988721804511283;0,485935960591133;0,13995689655172416;0,47032687651331717;0,1386682808716707;
380;0,3112758620689655;0,08518965517241384;0,26548440065681445;0,08845648604269296;0,5358777429467085;0,09393416927899689;0,5288305847076462;0,11875562218890556;0,524382183908046;0,11610632183908043;0,5198482758620689;0,1132827586206897;0,5117904509283819;0,11035809018567644;0,5004980842911877;0,10703703703703704;0,4825738916256158;0,10341133004926106;0,457705112960761;0,1006064209274673;0,4159655172413793;0,09899999999999998;0,373047830923248;0,09869855394883209;0,3351400862068965;0,09979525862068961;0,521128526645768;0,10237199582027168;0,5035091277890467;0,10646044624746454;0,4877044334975369;0,11767487684729061;0,47478927203065135;0,1154310344827586;0,4619757688723206;0,11315936626281453;0,4495281306715063;0,11075317604355717;0,4380194518125553;0,10811671087533159;
390;0,42586206896551726;0,10569827586206892;0,4131875525651808;0,1040454163162321;0,40060755336617404;0,10322660098522163;0,3868805132317562;0,10344025661587808;0,5138479623824451;0,10467868338557995;0,49594636015325666;0,10714942528735627;0,4792428785607197;0,11806596701649175;0,4638958180484226;0,1167278063096111;0,4499928160919541;0,11518678160919538;0,43682617874736096;0,11353976073187899;0,42462758620689656;0,11168275862068966;0,41247464503042597;0,1096010818120352;0,4011339522546419;0,10797082228116706;0,3900130123617437;0,10697462589459983;0,5251724137931034;0,10670498084291191;0,5094796238244514;0,1072727272727273;0,492820197044335;0,10875615763546798;0,47672111312764676;0,11132486388384755;0,4621165279429251;0,1179904875148633;0,44817066043249565;0,1165926358854471;
400;0,27749999999999997;0,0809333333333333;0,2359365079365079;0,08565079365079364;0,5256515151515151;0,0924848484848485;0,5175217391304348;0,10668115942028988;0,5092361111111111;0,10306944444444444;0,5000666666666667;0,09937333333333331;0,48750000000000004;0,09580769230769226;0,47156790123456793;0,0927530864197531;0,4484880952380952;0,09053571428571427;0,4159655172413793;0,08929885057471265;0,3754777777777778;0,08912222222222221;0,33592473118279564;0,09011827956989249;0,30109375000000005;0,09238541666666666;0,49983838383838386;0,09601010101010099;0,48292156862745095;0,10102941176470592;0,4672571428571428;0,10559047619047623;0,45318518518518514;0,10298148148148145;0,4391531531531532;0,10033333333333339;0,42552631578947364;0,09785964912280698;0,41268376068376067;0,09593162393162391;
410;0,3991;0,09463333333333335;0,38500813008130086;0,09404878048780485;0,3705555555555555;0,09422222222222221;0,3536434108527132;0,09531782945736433;0,4870227272727272;0,09739393939393937;0,47014074074074075;0,10056296296296297;0,4542246376811594;0,10679710144927534;0,43924113475177307;0,10495035460992908;0,4251597222222222;0,10293055555555553;0,4118163265306123;0,10096598639455778;0,39935333333333334;0,09921333333333338;0,3869607843137255;0,09786928104575165;0,37527564102564104;0,09708974358974354;0,36380503144654086;0,0968930817610063;0,4943333333333333;0,09737037037037033;0,4793333333333333;0,09863030303030307;0,46372619047619046;0,10075;0,4485730994152046;0,10389473684210526;0,43468965517241376;0,10604022988505746;0,4212090395480226;0,10440677966101697;
420;0,2437096774193548;0,3838548387096774;0,2062058371735791;0,3729953917050691;0,5118035190615835;0,36013196480938414;0,4990322580645161;0,4388499298737728;0,4864112903225807;0,43682795698924726;0,4728903225806451;0,4353548387096774;0,45574441687344913;0,43468982630272957;0,4341816009557945;0,43455197132616485;0,4039285714285714;0,43354838709677423;0,373047830923248;0,43143492769744163;0,33592473118279564;0,4280645161290323;0,299573361082206;0,4232466181061394;0,26767137096774196;0,4167741935483871;0,4768719452590421;0,40854349951124147;0,4585768500948767;0,398235294117647;0,4421198156682028;0,4370506912442397;0,4270250896057348;0,434005376344086;0,4116652136006975;0,4314908456843941;0,3968590831918506;0,4295670628183361;0,3827956989247312;0,42749379652605457;
430;0,3674193548387097;0,42486290322580644;0,35087332808811955;0,4215892997639654;0,3338402457757297;0,41754992319508444;0,31750937734433604;0,4126181545386347;0,4594941348973607;0,4066348973607038;0,4423297491039426;0,39942652329749107;0,42658485273492286;0,4389130434782609;0,41140013726835967;0,43789293067947843;0,39733198924731183;0,437116935483871;0,38368005266622773;0,43679394338380517;0,3711161290322581;0,4366774193548387;0,35828589500316255;0,43607210626185955;0,3463213399503722;0,4347580645161291;0,33417528910529515;0,43269020085209986;0,463715651135006;0,4297192353643966;0,44906744868035187;0,42571847507331373;0,43374423963133646;0,4205587557603687;0,4189134125636672;0,4140747028862479;0,40538375973303675;0,43758064516129036;0,3920940404592673;0,4357463094587206;
440;0,21378125000000003;0,36073437500000005;0,18000000000000005;0,34952380952380957;0,4946732954545454;0,33640625;0,4776766304347826;0,4157608695652174;0,46069010416666667;0,41471354166666663;0,4422125;0,41412499999999997;0,41890625000000004;0,4138701923076923;0,39093750000000005;0,412962962962963;0,3630022321428571;0,4111607142857143;0,3351400862068965;0,4083405172413793;0,30109375000000005;0,4043541666666667;0,26767137096774196;0,3990120967741936;0,23844726562499996;0,392109375;0,4535606060606061;0,38354166666666667;0,4345036764705882;0,37316176470588236;0,41691071428571425;0,4145;0,4005208333333333;0,412109375;0,383902027027027;0,4101182432432432;0,3675822368421052;0,40806743421052627;0,35089743589743594;0,40560897435897436;
450;0,33290624999999996;0,4026171875;0,31612804878048784;0,39902439024390246;0,3007589285714286;0,39469494047619047;0,2863662790697674;0,38953488372093026;0,43308948863636365;0,3833735795454546;0,41609027777777774;0,3760416666666667;0,40007472826086954;0,41586277173913044;0,3848204787234043;0,41533909574468086;0,3704361979166667;0,41503255208333334;0,3564859693877551;0,41484056122448976;0,34334374999999995;0,41428125000000005;0,33010416666666664;0,4132536764705882;0,3168930288461539;0,4115564903846154;0,3035200471698113;0,40914504716981137;0,43521990740740746;0,4058738425925926;0,4208068181818182;0,4016193181818182;0,4058370535714285;0,3962555803571428;0,3912828947368421;0,38978618421052635;0,37795258620689653;0,41484374999999996;0,36488347457627124;0,4134004237288136;
460;0,42892424242424243;0,3338939393939394;0,3882683982683983;0,3226262626262626;0,593801652892562;0,30949035812672177;0,5874044795783926;0,38893280632411065;0,5816666666666667;0,38901515151515154;0,5760000000000001;0,38858181818181814;0,5682517482517482;0,3877622377622377;0,5575757575757576;0,3861952861952862;0,5403463203463204;0,38389610389610385;0,521128526645768;0,3806269592476489;0,49983838383838386;0,37624242424242427;0,4768719452590421;0,3705571847507332;0,4535606060606061;0,3634090909090909;0,582176308539945;0,3546556473829201;0,5718449197860962;0,34491978609625673;0,5618787878787879;0,38834632034632033;0,5525841750841751;0,386473063973064;0,542940212940213;0,38442260442260445;0,5324162679425837;0,3821132376395534;0,5220435120435121;0,37940947940947944;
470;0,5098712121212121;0,37623484848484845;0,49515890613451585;0,37247597930524756;0,47951659451659456;0,3680591630591631;0,4653065539112051;0,3627906976744186;0,5765426997245179;0,35659090909090907;0,5665723905723905;0,3493468013468013;0,5570882740447958;0,3892424242424243;0,5474145712443585;0,389277885235332;0,5380429292929293;0,3889709595959596;0,5288311688311689;0,38845392702535564;0,5193090909090909;0,3875939393939394;0,5093285799168152;0,3863042186571598;0,4989393939393939;0,3843648018648018;0,4877530017152659;0,3817438536306461;0,5814421997755331;0,37831088664421997;0,5731625344352618;0,37391184573002756;0,5641612554112554;0,36843614718614714;0,555156831472621;0,36245082402977136;0,5466509926854755;0,3884378265412748;0,5379198767334361;0,3872419106317412;
480;0,40951470588235295;0,30195588235294113;0,3656162464985995;0,2908403361344538;0,5859358288770053;0,27839572192513373;0,5782864450127877;0,3581074168797954;0,5704166666666667;0,3575245098039216;0,5629411764705883;0,3568;0,5530995475113123;0,355633484162896;0,54119825708061;0,3538562091503268;0,5227100840336134;0,3513025210084033;0,5035091277890467;0,3478498985801217;0,48292156862745095;0,34335294117647064;0,4585768500948767;0,3376280834914611;0,4345036764705882;0,33047794117647056;0,5718449197860962;0,32180035650623884;0,5606487889273357;0,31342560553633214;0,5493361344537815;0,356890756302521;0,5388643790849673;0,3548937908496732;0,5283863275039746;0,3527821939586645;0,5166176470588235;0,35042569659442724;0,5047134238310709;0,34770739064856715;
490;0,49121323529411764;0,3445220588235294;0,4757890961262554;0,3407890961262554;0,46041316526610643;0,33639355742296917;0,4464637482900137;0,33121751025991797;0,5648930481283423;0,3251136363636363;0,5539738562091503;0,3182745098039216;0,5436317135549873;0,3580626598465473;0,5334042553191489;0,3577659574468085;0,5230882352941176;0,3573345588235294;0,5129771908763505;0,35664465786314525;0,5027058823529411;0,3556176470588235;0,49219146482122256;0,35416955017301033;0,4805203619909503;0,35210972850678735;0,46837957824639287;0,3493951165371809;0,5689705882352941;0,3458877995642702;0,5607219251336899;0,3414705882352941;0,5510241596638655;0,33603466386554626;0,5412125902992776;0,3308720330237358;0,5319624746450304;0,3572160243407708;0,5228863409770688;0,3559720837487538;
500;0,39118571428571425;0,27201428571428576;0,34461224489795916;0,26111564625850336;0,57812987012987;0,2502077922077922;0,5684223602484473;0,32829813664596275;0,5587857142857142;0,3273571428571429;0,5500114285714286;0,3263085714285714;0,5385274725274725;0,32485714285714284;0,5246349206349206;0,3228359788359788;0,5045918367346939;0,3200816326530612;0,4877044334975369;0,3164729064039409;0,4672571428571428;0,3118666666666666;0,4421198156682028;0,3060829493087558;0,41691071428571425;0,29892857142857143;0,5618787878787879;0,2905281385281385;0,5493361344537815;0,28383193277310925;0,5366775510204082;0,32720000000000005;0,5255634920634921;0,3251666666666667;0,5137528957528957;0,322996138996139;0,5007744360902255;0,320609022556391;0,48815384615384616;0,3178754578754579;
510;0,47286428571428574;0,3146785714285715;0,45645296167247384;0,3109547038327526;0,4418707482993197;0,30657823129251704;0,4293222591362126;0,30146179401993356;0,5539220779220779;0,2954480519480519;0,5421587301587302;0,28951111111111116;0,5312546583850932;0,328304347826087;0,5198905775075988;0,32782370820668694;0,5089523809523809;0,32722023809523815;0,4979475218658892;0,3263731778425656;0,48706285714285713;0,3252057142857143;0,47530532212885157;0,3236358543417367;0,462967032967033;0,321478021978022;0,4490026954177898;0,3186900269541779;0,5579206349206349;0,31513756613756616;0,5491480519480519;0,3107064935064935;0,5388724489795919;0,3054948979591837;0,5284360902255639;0,30134837092731825;0,5187536945812807;0,32751231527093594;0,5088184019370461;0,3262469733656175;
520;0,37440277777777775;0,24348611111111107;0,3257010582010582;0,23291005291005296;0,5705555555555555;0,22436868686868683;0,5591304347826087;0,2990821256038647;0,547962962962963;0,2980787037037037;0,537511111111111;0,2966888888888889;0,5240598290598291;0,29502136752136754;0,5075308641975309;0,29273662551440327;0,4889285714285714;0,2898412698412698;0,47478927203065135;0,2861111111111111;0,45318518518518514;0,28140740740740744;0,4270250896057348;0,27555555555555555;0,4005208333333333;0,26840277777777777;0,5525841750841751;0,260976430976431;0,5388643790849673;0,25575163398692813;0,5255634920634921;0,29853968253968255;0,5131095679012345;0,2964891975308642;0,5000975975975976;0,2942942942942943;0,48641081871345027;0,29187865497076027;0,4713603988603988;0,28911680911680915;
530;0,4554652777777778;0,28593749999999996;0,439180216802168;0,28223577235772357;0,42561507936507936;0,27794312169312174;0,41461886304909557;0,27288113695090443;0,54375;0,26708333333333334;0,5312592592592593;0,2622592592592593;0,5194806763285025;0,29941425120772946;0,5075177304964539;0,29889479905437355;0,4956828703703704;0,2980844907407407;0,4838775510204082;0,2971031746031746;0,47209999999999996;0,2958277777777778;0,4592156862745098;0,294177559912854;0,44501068376068376;0,2919497863247863;0,430796645702306;0,2891142557651991;0,5480298353909465;0,2855504115226337;0,5384494949494949;0,2811161616161616;0,5276438492063492;0,2765128968253968;0,516593567251462;0,27341617933723195;0,5063840996168583;0,2986733716475096;0,4958050847457627;0,2973728813559322;
540;0,3572297297297298;0,2149594594594595;0,3077606177606178;0,20540540540540542;0,5622604422604423;0,1992628992628993;0,5487896592244419;0,27055229142185666;0,5362837837837837;0,2690765765765766;0,5236108108108108;0,26754594594594594;0,5078794178794179;0,2656756756756756;0,49107107107107106;0,2633033033033033;0,4749613899613899;0,2602702702702703;0,4619757688723206;0,25645852749301024;0,4391531531531532;0,25172972972972973;0,4116652136006975;0,24591107236268528;0,383902027027027;0,2388682432432433;0,542940212940213;0,23285831285831282;0,5283863275039746;0,22934817170111288;0,5137528957528957;0,26949806949806954;0,5000975975975976;0,26740990990990987;0,48598246895544195;0,26523009495982464;0,4702631578947368;0,2628378378378379;0,45389466389466393;0,2601247401247401;
550;0,43784459459459457;0,25699324324324324;0,4230784442979565;0,2533684904416612;0,4111389961389962;0,2491441441441441;0,4014393463230672;0,24421118793211816;0,5334398034398035;0,239041769041769;0,5201561561561562;0,23547147147147152;0,5072855464159812;0,2706169212690952;0,49473260494537086;0,2698619896492237;0,4820045045045045;0,2690033783783784;0,4693105350248208;0,2679260893546608;0,4562162162162162;0,2665567567567567;0,4417912029676736;0,2648171701112878;0,42690228690228693;0,262531185031185;0,41298317185109634;0,25965833758286594;0,5376526526526526;0,2560710710710711;0,5277395577395577;0,25172972972972973;0,5161534749034749;0,24808397683397687;0,504461830251304;0,24582740635372213;0,4936020503261882;0,26978098788443616;0,48232249198350896;0,26848373797526337;
560;0,3400921052631579;0,18803947368421048;0,2912406015037594;0,18053884711779444;0,5526315789473684;0,1766387559808612;0,5377345537757436;0,24274599542334097;0,5233552631578947;0,2410745614035088;0,5078947368421053;0,23936842105263156;0,4913967611336032;0,23734817813765186;0,47588693957115014;0,23485380116959065;0,46242481203007524;0,23172932330827067;0,4495281306715063;0,22785843920145188;0,42552631578947364;0,2231052631578947;0,3968590831918506;0,21730050933786083;0,3675822368421052;0,2109703947368421;0,5324162679425837;0,2065709728867624;0,5166176470588235;0,2045201238390093;0,5007744360902255;0,24159398496240603;0,48641081871345027;0,23955409356725144;0,4702631578947368;0,23739687055476533;0,4522091412742383;0,2350484764542936;0,43684885290148445;0,23238866396761138;
570;0,4218223684210526;0,2293092105263158;0,4080166880616175;0,2257509627727856;0,39811403508771925;0,2215977443609023;0,3891126070991432;0,21680538555691553;0,5226076555023924;0,2127153110047847;0,5083859649122807;0,21026900584795316;0,4951945080091533;0,24271739130434777;0,48135498320268755;0,24186450167973128;0,46793859649122804;0,24091557017543863;0,453780880773362;0,23975832438238454;0,4388421052631579;0,238321052631579;0,42356037151702786;0,23652734778121776;0,4095748987854251;0,23420546558704458;0,39629592850049655;0,23131578947368425;0,5274415204678362;0,22773391812865496;0,5167224880382775;0,2238995215311005;0,5045817669172932;0,22119830827067666;0,4922576177285318;0,21981994459833798;0,48068511796733215;0,24191923774954627;0,4687020517395183;0,24065120428189113;
